學校名稱,日間∕進修別,等級別,總計
國立政治大學,D 日,D 博士,948
國立政治大學,D 日,M 碩士,3
國立政治大學,D 日,B 學士,9
國立政治大學,N 職,M 碩士,1
國立清華大學,D 日,D 博士,1
國立清華大學,D 日,M 碩士,5
國立清華大學,D 日,B 學士,8
國立清華大學,D 日,X 4+X,1
國立清華大學,N 職,M 碩士,1
國立臺灣大學,D 日,D 博士,3
國立臺灣大學,D 日,M 碩士,10
國立臺灣大學,D 日,B 學士,16
國立臺灣大學,N 職,M 碩士,1
國立臺灣師範大學,D 日,D 博士,1
國立臺灣師範大學,D 日,M 碩士,4
國立臺灣師範大學,D 日,B 學士,8
國立臺灣師範大學,N 職,M 碩士,2
國立成功大學,D 日,D 博士,1
國立成功大學,D 日,M 碩士,7
國立成功大學,D 日,B 學士,11
國立成功大學,N 職,M 碩士,1
國立中興大學,D 日,D 博士,966
國立中興大學,D 日,M 碩士,3
國立中興大學,D 日,B 學士,8
國立中興大學,N 職,M 碩士,1
國立中興大學,P 進,B 學士,936
國立陽明交通大學,D 日,D 博士,2
國立陽明交通大學,D 日,M 碩士,7
國立陽明交通大學,D 日,B 學士,8
國立陽明交通大學,N 職,M 碩士,1
國立中央大學,D 日,D 博士,1
國立中央大學,D 日,M 碩士,3
國立中央大學,D 日,B 學士,6
國立中央大學,N 職,M 碩士,1
國立中山大學,D 日,D 博士,823
國立中山大學,D 日,M 碩士,3
國立中山大學,D 日,B 學士,4
國立中山大學,N 職,M 碩士,1
國立臺灣海洋大學,D 日,D 博士,330
國立臺灣海洋大學,D 日,M 碩士,1
國立臺灣海洋大學,D 日,B 學士,6
國立臺灣海洋大學,N 職,M 碩士,647
國立臺灣海洋大學,N 修,X 4+X,1
國立臺灣海洋大學,P 進,B 學士,588
國立中正大學,D 日,D 博士,549
國立中正大學,D 日,M 碩士,2
國立中正大學,D 日,B 學士,6
國立中正大學,N 職,M 碩士,1
國立高雄師範大學,D 日,D 博士,458
國立高雄師範大學,D 日,M 碩士,1
國立高雄師範大學,D 日,B 學士,3
國立高雄師範大學,N 職,M 碩士,1
國立彰化師範大學,D 日,D 博士,506
國立彰化師範大學,D 日,M 碩士,1
國立彰化師範大學,D 日,B 學士,4
國立彰化師範大學,N 職,M 碩士,1
國立臺北大學,D 日,D 博士,212
國立臺北大學,D 日,M 碩士,1
國立臺北大學,D 日,B 學士,5
國立臺北大學,N 職,M 碩士,595
國立臺北大學,P 進,B 學士,2
國立嘉義大學,D 日,D 博士,195
國立嘉義大學,D 日,M 碩士,1
國立嘉義大學,D 日,B 學士,7
國立嘉義大學,N 職,M 碩士,929
國立嘉義大學,P 進,B 學士,1
國立高雄大學,D 日,D 博士,30
國立高雄大學,D 日,M 碩士,656
國立高雄大學,D 日,B 學士,4
國立高雄大學,N 職,M 碩士,550
國立高雄大學,N 修,C 二技,146
國立東華大學,D 日,D 博士,423
國立東華大學,D 日,M 碩士,1
國立東華大學,D 日,B 學士,7
國立東華大學,N 職,M 碩士,563
國立暨南國際大學,D 日,D 博士,342
國立暨南國際大學,D 日,M 碩士,808
國立暨南國際大學,D 日,B 學士,4
國立暨南國際大學,N 職,M 碩士,486
國立臺灣科技大學,D 日,D 博士,1
國立臺灣科技大學,D 日,M 碩士,3
國立臺灣科技大學,D 日,B 四技,5
國立臺灣科技大學,D 日,C 二技,59
國立臺灣科技大學,N 職,M 碩士,786
國立雲林科技大學,D 日,D 博士,427
國立雲林科技大學,D 日,M 碩士,1
國立雲林科技大學,D 日,B 四技,6
國立雲林科技大學,D 日,C 二技,195
國立雲林科技大學,N 職,M 碩士,804
國立雲林科技大學,N 修,B 四技,217
國立屏東科技大學,D 日,D 博士,256
國立屏東科技大學,D 日,M 碩士,1
國立屏東科技大學,D 日,B 四技,7
國立屏東科技大學,N 職,M 碩士,282
國立屏東科技大學,N 修,B 四技,1
國立臺北科技大學,D 日,D 博士,750
國立臺北科技大學,D 日,M 碩士,3
國立臺北科技大學,D 日,B 四技,6
國立臺北科技大學,D 日,C 二技,22
國立臺北科技大學,D 日,5 五專,121
國立臺北科技大學,N 職,M 碩士,1
國立臺北科技大學,N 修,B 四技,1
國立臺北科技大學,N 修,C 二技,3
國立臺北藝術大學,D 日,D 博士,109
國立臺北藝術大學,D 日,M 碩士,943
國立臺北藝術大學,D 日,B 學士,1
國立臺北藝術大學,D 日,X 4+X,1
國立臺北藝術大學,D 日,5 七年,84
國立臺北藝術大學,N 職,M 碩士,180
國立臺灣藝術大學,D 日,D 博士,150
國立臺灣藝術大學,D 日,M 碩士,756
國立臺灣藝術大學,D 日,B 學士,2
國立臺灣藝術大學,N 職,M 碩士,403
國立臺灣藝術大學,N 修,C 二技,355
國立臺灣藝術大學,P 進,B 學士,1
國立臺東大學,D 日,D 博士,43
國立臺東大學,D 日,M 碩士,399
國立臺東大學,D 日,B 學士,3
國立臺東大學,N 職,M 碩士,609
國立臺東大學,N 修,C 二技,110
國立臺東大學,P 進,B 學士,289
國立宜蘭大學,D 日,D 博士,17
國立宜蘭大學,D 日,M 碩士,500
國立宜蘭大學,D 日,B 學士,4
國立宜蘭大學,N 職,M 碩士,218
國立宜蘭大學,P 進,B 學士,426
國立聯合大學,D 日,D 博士,19
國立聯合大學,D 日,M 碩士,407
國立聯合大學,D 日,B 學士,6
國立聯合大學,N 職,M 碩士,42
國立聯合大學,P 進,B 學士,1
國立虎尾科技大學,D 日,D 博士,57
國立虎尾科技大學,D 日,M 碩士,912
國立虎尾科技大學,D 日,B 四技,7
國立虎尾科技大學,D 日,C 二技,235
國立虎尾科技大學,D 日,2 二專,64
國立虎尾科技大學,D 日,5 五專,238
國立虎尾科技大學,N 職,M 碩士,193
國立虎尾科技大學,N 修,B 四技,2
國立虎尾科技大學,N 修,C 二技,169
國立臺南藝術大學,D 日,D 博士,58
國立臺南藝術大學,D 日,M 碩士,548
國立臺南藝術大學,D 日,B 學士,786
國立臺南藝術大學,D 日,5 七年,173
國立臺南藝術大學,N 職,M 碩士,51
國立臺南大學,D 日,D 博士,153
國立臺南大學,D 日,M 碩士,988
國立臺南大學,D 日,B 學士,3
國立臺南大學,N 職,M 碩士,662
國立臺南大學,P 進,B 學士,181
國立臺北教育大學,D 日,D 博士,154
國立臺北教育大學,D 日,M 碩士,1
國立臺北教育大學,D 日,B 學士,3
國立臺北教育大學,N 職,M 碩士,1
國立臺中教育大學,D 日,D 博士,106
國立臺中教育大學,D 日,M 碩士,882
國立臺中教育大學,D 日,B 學士,3
國立臺中教育大學,N 職,M 碩士,783
國立澎湖科技大學,D 日,M 碩士,87
國立澎湖科技大學,D 日,B 四技,2
國立澎湖科技大學,D 日,5 五專,68
國立澎湖科技大學,N 職,M 碩士,40
國立澎湖科技大學,N 修,B 四技,285
